Question,Answer
"초, 중, 고등학생 교육비 지원과 교육급여를 동시에 받을 수 있나요?","네, 교육비 지원과 교육급여는 선정기준과 지원내용이 다르기 때문에 동시에 지원받을 수 있습니다. 단, 고등학교의 입학금과 수업료는 중복 지원되지 않습니다."
행정복지센터를 방문하지 않고 온라인으로만 교육급여를 신청하고 싶어요. 어떻게 해야 하나요?,"복지로(http://www.bokjiro.go.kr), 교육비 원클릭시스템(http://oneclick.moe.go.kr), 교육급여 바우처(http://e-voucher.kosaf.go.kr) 등의 온라인 누리집을 통해 교육급여 신청을 할 수 있습니다."
보건복지상담센터에 문의하고 싶을 때는 어디로 연락을 해야 하나요?,보건복지상담센터에 문의하고 싶을 때는 ☎129번으로 전화하시면 됩니다.
중학생 자녀를 두고 있습니다. 교육활동지원비는 학년별로 얼마씩 지급되나요?,"중학생의 경우 연 1회, 58만 9,000원의 교육활동지원비가 지급됩니다."
기초생활보장을 신청할 때 교육급여만 따로 신청할 수도 있나요?,"네, '기초생활보장'과 함께 통합신청할 수도 있고, 본인 선택에 따라 교육급여만 별도로 신청할 수도 있습니다."
내 아이가 실종되었어요. 실종 아동을 위한 가족 지원 서비스는 어떤 것들이 있나요?,"실종 아동 가족을 위한 지원 서비스로는 실종아동 찾기 홍보물 제작 지원, 심리상담 서비스 등이 있습니다. 아동권리보장원 실종아동전문센터에 문의하셔서 도움을 받으실 수 있습니다."
경찰청과 협력하여 실종아동을 찾는 홍보는 어떻게 신청할 수 있나요?,실종아동 찾기 홍보 신청을 원하시면 아동권리보장원 실종아동전문센터에 연락하여 안내를 받고 신청하실 수 있습니다.
실종아동이 발견되었을 때 빠르게 알아볼 수 있는 방법이 있나요?,실종아동 조기 발견을 위해 무연고 아동 신상 카드와 유전자 검사 정보 자료를 활용할 수 있습니다. 자세한 사항은 아동권리보장원 실종아동전문센터에 문의해 주세요.
아이가 혹시 실종될까 봐 걱정돼요. 실종 예방을 위한 교육은 어떻게 받을 수 있나요?,실종아동 예방 교육과 홍보는 아동권리보장원 실종아동전문센터에서 실시하고 있습니다. 해당 센터에 문의하여 교육 관련 정보를 얻으실 수 있어요.
다운증후군을 가진 아이를 둔 가족도 실종아동 지원을 받을 수 있나요?,"네, 지적장애인, 자폐성 장애인 또는 정신장애인도 실종 시 지원 대상에 해당됩니다. 아동권리보장원 실종아동전문센터에 문의하시어 지원을 받을 수 있습니다."
실종아동전문센터의 문의 전화번호를 알려주세요.,아동권리보장원 실종아동전문센터의 문의 전화번호는 02-6283-0200입니다.
"경찰청에서 제공하는 아동, 여성, 장애인을 위한 전문 지원 서비스에는 어떤 것들이 있나요?",경찰청 안전Dream이라는 아동·여성·장애인경찰지원센터를 통해 실종아동 및 가족을 위한 다양한 지원 서비스를 제공합니다. 자세한 사항은 전화번호 182로 문의해 주세요.
청각장애를 가진 아동이 실종됐을 때 특별히 받을 수 있는 지원이 있을까요?,"청각장애 아동의 실종 사건 발생 시 아동권리보장원 실종아동전문센터에서 제공하는 지원 서비스를 받을 수 있으며, 경찰청과의 협력을 통해 실종아동을 찾는 데 필요한 조치를 취할 수 있습니다."
경찰청 안전Dream 센터에서는 어떤 문의를 할 수 있나요?,"경찰청 안전Dream 센터에서는 아동, 여성, 장애인을 대상으로 한 범죄 예방, 지원 서비스에 대해 문의할 수 있습니다. 실종아동 관련 지원도 포함됩니다."
실종아동전문센터 지원을 받기 위한 신청 절차가 궁금해요.,실종아동전문센터 지원 신청을 원하시면 먼저 해당 센터에 문의하셔서 필요한 서류와 절차에 대해 안내를 받으신 후 신청을 진행하실 수 있습니다.
생계곤란으로 인한 병역감면을 받으려면 어디로 문의해야 하나요?,병무청 병무민원상담소(☎1588-9090)로 문의하거나 병무청 누리집(http://www.mma.go.kr)의 병역이행안내에서 병역감면의 생계유지 곤란사유 병역감면 정보를 확인할 수 있습니다.
병역감면 제도의 신청 방법에는 어떤 것들이 있나요?,병역감면 신청은 거주지 지방병무청을 방문하거나 우편으로 신청할 수 있습니다.
대체복무요원이 생계곤란 병역감면을 받을 수 있는 기준은 무엇인가요?,"대체복무요원이 생계곤란 병역감면을 받기 위해서는 가족의 부양비, 재산액, 그리고 월수입액이 모두 병역감면 기준에 해당되어야 합니다."
전시근로역 편입 대상자가 되려면 어떤 조건을 충족해야 하나요?,"전시근로역 편입 대상자가 되기 위해서는 가족의 부양비, 재산액, 월수입액이 생계곤란 병역감면 기준에 모두 부합되어야 합니다."
현역병으로 복무 중인데 생계곤란으로 감면을 받고 싶어요. 어떻게 해야 하나요?,"생계곤란 병역감면을 희망한다면, 지방병무청에 방문하거나 우편으로 필요한 서류를 제출하여 신청할 수 있습니다."
사회복무요원이 생계곤란 병역감면을 받기 위한 절차는 어떻게 되나요?,"사회복무요원이 생계곤란 병역감면을 받으려면, 우선 거주지 지방병무청을 방문하거나 우편을 통해 신청할 수 있으며, 감면 기준에 부합하는지 심사를 받게 됩니다."
생계유지 곤란사유 병역감면을 신청하려면 어떤 서류가 필요한가요?,생계유지 곤란사유 병역감면 신청에 필요한 구체적인 서류는 지방병무청을 통해 안내받거나 병무청 누리집에서 확인할 수 있습니다.
입영통지를 받은 상태에서 생계곤란 병역감면을 받을 경우 어떤 처분을 받게 되나요?,"생계곤란 병역감면 기준에 해당된다면, 현역병은 전시근로역으로 편입될 수 있고, 대체복무요원은 소집면제 또는 소집해제처분을 받게 됩니다."
생계곤란 병역감면을 받기 위한 가족의 월수입액 기준은 어디에서 확인할 수 있나요?,생계곤란 병역감면을 위한 가족의 월수입액 기준은 병무청 누리집의 병역이행안내 또는 지방병무청을 통해 확인할 수 있습니다.
생계곤란으로 대체복무 중인 형을 소집해제 시키고 싶습니다. 어디로 연락해야 하나요?,"대체복무 중인 형을 생계곤란사유로 소집해제 시키려면, 병무청 병무민원상담소(☎1588-9090)에 연락하거나, 거주지 지방병무청을 방문 또는 우편으로 신청하여 절차를 진행할 수 있습니다."
국가근로장학금을 받기 위해 제가 성적 기준을 충족해야 하나요?,"네, 국가근로장학금을 받기 위해서는 C0 학점(70/100점) 이상이어야 합니다. 단, 신입생이나 편입생의 경우 첫 학기에는 성적 기준이 적용되지 않습니다."
한 학기에 국가근로장학금을 받으면서 일할 수 있는 최대 시간은 몇 시간인가요?,한 학기에 최대 520시간까지 국가근로장학금을 받으며 일할 수 있습니다.
방학 중에 국가근로장학금을 받으며 근로할 수 있는 최대 시간은 얼마인가요?,방학 중에는 1주당 최대 40시간까지 근로할 수 있습니다.
봉사유형이나 취업연계유형 근로학생도 국가근로장학금의 대상이 될 수 있나요?,"네, 봉사유형 및 취업연계유형 근로학생은 학자금 지원구간의 적용 배제가 가능하여 국가근로장학금을 받을 수 있습니다."
국가근로장학금 신청을 어디서 해야 하나요?,한국장학재단 누리집(https://www.kosaf.go.kr)에서 온라인으로 신청할 수 있습니다.
국가근로장학금에 대한 문의는 어디로 해야 하나요?,국가근로장학금에 대한 문의는 한국장학재단으로 전화(☎1599-2290)하셔서 하실 수 있습니다.
국가근로장학금의 교내근로 시급은 얼마인가요?,"교내근로의 경우, 시급은 9,620원입니다."
교외근로를 할 때 국가근로장학금의 시급 기준은 무엇인가요?,"교외근로를 할 때의 시급 기준은 1만 1,150원입니다."
학자금 지원구간이 8구간을 넘으면 국가근로장학금을 받을 수 없나요?,"네, 국가근로장학금은 학자금 지원구간 8구간 이하인 학생만 받을 수 있습니다."
학자금 지원구간이란 무엇인가요?,"학자금 지원구간은 학생 본인 및 가구원의 소득, 재산, 부채에 대한 자료를 기준으로 산정한 월 소득 인정액에 따라 개인별 지원구간(1~10구간)을 결정하는 제도입니다."
위(Wee)클래스는 어떤 서비스를 제공하나요?,"위(Wee)클래스는 학생들을 대상으로 교내에서 개인상담, 집단상담, 교육프로그램, 심리검사를 실시하고 보호자 및 교사를 위한 자문 서비스도 제공합니다."
위(Wee)센터에서는 어떤 지원을 받을 수 있나요?,"위(Wee)센터에서는 위기학생 및 상담 희망 학생에 대한 진단, 상담, 치유 등의 원스톱 서비스를 지원하며, 심층심리검사, 학업중단숙려제 상담 지원 및 지역사회 연계 서비스를 제공합니다."
학교적응에 어려움을 겪는 학생의 보호자입니다. 어디에 상담을 요청해야 하나요?,"학교적응에 어려움을 겪는 학생의 보호자라면, 가까운 위(Wee)클래스에 방문하거나 전화로 상담을 신청하거나, 담임교사를 통해 접수 의뢰할 수 있습니다."
학업중단 위기에 처한 학생을 위한 위(Wee)스쿨 프로그램은 어떤 내용을 포함하나요?,"위(Wee)스쿨은 중장기 치유가 필요한 위기학생에게 치유 및 위탁교육, 고위기 학생을 대상으로 한 장기간 치유 및 교육과 교과활동, 직업진로교육, 방과후 활동, 상담 활동 등 다양한 프로그램을 운영합니다."
위(Wee)프로젝트의 상담지원 서비스에 대해 알고 싶습니다. 어디로 연락해야 하나요?,"위(Wee)프로젝트의 상담지원 서비스에 대해서는 위(Wee)프로젝트 누리집(www.wee.go.kr)을 방문하거나 위(Wee)프로젝트 연구·지원센터(☎043-530-9182, 9184)로 전화하여 문의할 수 있습니다."
학교 폭력으로 고통받고 있는 저희 아이도 위(Wee)센터를 통해 도움을 받을 수 있나요?,"네, 학교 폭력으로 어려움을 겪는 학생들도 위(Wee)센터에서 상담과 지원을 받을 수 있습니다. 해당 학생의 소속학교를 통해 방문 또는 전화로 신청하거나 공문으로 신청해보시기 바랍니다."
학교 수업에 적응하지 못하는 제 친구를 위해 어떻게 위(Wee)클래스에 상담 신청을 할 수 있나요?,당신의 친구를 위해서는 담임교사에게 접수 의뢰를 요청하거나 위(Wee)클래스에 직접 방문 혹은 전화로 상담 신청을 할 수 있습니다.
가정형 위(Wee)센터에서는 무엇을 도와주나요?,"가정형 위(Wee)센터는 이혼, 방임, 학대 등 가정적 요인으로 학업중단 위기에 놓인 학생을 대상으로 돌봄(주거), 상담, 교육을 통합적으로 지원하는 서비스를 제공합니다."
위(Wee)스쿨에 학생을 등록하고 싶습니다. 과정은 어떻게 되나요?,"위(Wee)스쿨에 학생을 등록하고자 하면, 먼저 위(Wee)센터나 학교장을 통해 접수 의뢰를 하면 됩니다. 절차에 따라 해당 학생이 프로그램에 참여할 수 있도록 안내 받을 수 있습니다."
"위(Wee)클래스와 위(Wee)센터, 위(Wee)스쿨은 어떤 차이가 있나요?","위(Wee)클래스는 교내에서 실시하는 상담 프로그램이며, 위(Wee)센터는 학교로부터 의뢰 받은 위기학생 대상으로 지역교육지원청에서 제공하는 원스톱 서비스입니다. 위(Wee)스쿨은 중장기 치유가 필요한 위기학생을 위한 시도 교육청 주관의 교육 및 치유 프로그램이라는 점에서 차이가 있습니다."
학교 밖 청소년 지원 대상에 해당하는 연령대는 어떻게 되나요?,학교 밖 청소년 지원 대상은 9세부터 24세까지입니다.
초등학교에 다니고 있었는데 3개월 넘게 학교를 가지 않아요. 지원 받을 수 있을까요?,"네, 초등학교에 입학한 후 3개월 이상 결석한 경우 학교 밖 청소년 지원의 대상에 해당합니다."
꿈드림센터를 방문하지 않고 온라인으로도 지원 신청이 가능한가요?,"네, 온라인으로 꿈드림센터 누리집(www.kdream.or.kr)을 통해 지원 신청할 수 있습니다."
고등학교를 자퇴했는데 학교 밖 청소년 지원을 받고 싶어요. 어떻게 해야 하나요?,가까운 꿈드림센터를 방문하거나 누리집에서 신청하여 지원을 받을 수 있습니다.
"학교를 그만두고 싶은데, 학업중단 숙려제에 참여하면 어떤 도움을 받을 수 있나요?",학업중단 숙려제에 참여하면 학교 밖 청소년 발생 예방을 위한 지원을 받을 수 있습니다.
"학교를 중도에 그만뒀는데, 재취학이나 검정고시에 대한 지원도 받을 수 있나요?","네, 교육지원을 통해 재취학이나 검정고시 준비 등에 대한 지원을 받을 수 있습니다."
"직장 경험이 없는데, 학교 밖 청소년 지원 사업을 통해 직업체험은 가능한가요?","네, 직업체험 및 취업지원을 통해 진로교육활동과 직업체험 기회를 제공받을 수 있습니다."
지원받을 수 있는 기타 서비스에는 어떤 것들이 있나요?,지역특성화프로그램 등 다양한 기타 서비스를 지원받을 수 있습니다.
학교 밖 청소년 지원에서 정서지원도 제공하나요?,"네, 자립지원에 포함되어 있어 생활지원과 함께 정서지원도 받을 수 있습니다."
지역 학교밖청소년지원센터에 대한 추가적인 정보가 필요하다면 어디로 문의하면 되나요?,"꿈드림센터 누리집(www.kdream.or.kr)을 방문하거나 청소년전화(☎1388, 휴대전화는 국번+1388, www.cyber1388.kr)로 문의하실 수 있습니다."
일반 상환 학자금 대출의 연령 제한은 어떻게 되나요?,일반 상환 학자금 대출의 연령 제한은 만 55세 이하입니다.
학점은행제 교육훈련기관 학습자는 생활비 대출을 받을 수 있나요?,"아니요, 학점은행제 교육훈련기관 학습자는 생활비 대출을 받을 수 없습니다."
대학생이 등록금 대출을 신청하고 싶다면 어디로 문의해야 할까요?,대학생이 등록금 대출을 신청하고자 할 때는 한국장학재단으로 문의하셔야 합니다.
학기당 생활비 대출 한도는 얼마인가요?,"학기당 생활비 대출 한도는 기본적으로 150만 원이지만, '23년도 1학기에는 200만 원입니다."
2023년부터 학점은행제 교육훈련기관 학습자에게 달라지는 점은 무엇인가요?,2023년부터 학점은행제 교육훈련기관의 평가인정 학습과정 학습자가 등록금대출 지원대상에 포함됩니다.
일반 상환 학자금 대출을 신청할 때 성적 기준은 어떻게 되나요?,"신청자는 직전학기 성적이 70점/100점(C학점) 이상이어야 합니다. 단, 신입생과 장애인은 이 성적 기준이 적용되지 않습니다."
대학원생은 일반 상환 학자금 대출 시 이수 학점 조건이 있나요?,대학원생은 일반 상환 학자금 대출 시 직전학기 이수 학점 조건이 적용되지 않습니다.
일반 상환 학자금 대출의 대출금리는 어떻게 되나요?,일반 상환 학자금 대출의 대출금리는 1.7%(고정금리)입니다.
한국장학재단의 일반 상환 학자금 대출 신청은 어디에서 할 수 있나요?,한국장학재단의 일반 상환 학자금 대출 신청은 한국장학재단 누리집 또는 모바일 앱에서 온라인으로 하실 수 있습니다.
학자금대출 연체자도 일반 상환 학자금 대출을 받을 수 있나요?,"아니요, 학자금대출 연체자 및 금융채무 불이행자 등은 대출 제한 대상이므로 학자금 대출을 받을 수 없습니다."
위기 청소년 특별지원에 해당돼는 청소년의 나이 범위는 어떻게 되나요?,위기 청소년 특별지원의 대상 나이 범위는 9세 이상 24세 이하의 청소년입니다.
위기 청소년 특별지원의 생활지원 항목에서 지급되는 최대 지원금액은 얼마인가요?,생활지원 항목에서는 월 65만 원 이하까지 지원받을 수 있습니다.
위기 청소년 건강지원을 통해 지원받을 수 있는 연간 최대 금액은 얼마인가요?,건강지원의 경우 연 200만 원 이하까지 지원을 받을 수 있습니다.
"학업지원을 받고 싶은데, 고등학교 검정고시 준비에 필요한 학원비 지원은 월 최대 얼마까지 가능한가요?",고등학교 검정고시 준비에 필요한 학원비는 월 30만 원 이하까지 지원받을 수 있습니다.
위기 청소년 자립지원을 통해 받을 수 있는 월 최대 지원금액은 얼마인가요?,자립지원 항목에서는 월 36만 원 이하까지 지원받을 수 있습니다.
상담지원 중 심리검사비는 별도로 지원되는 금액이 있나요? 있다면 얼마인가요?,상담지원에서 심리검사비는 별도로 연 40만 원까지 지원받을 수 있습니다.
법률지원을 받고자 할 때 연간 최대 지원 가능 금액은 얼마인가요?,법률지원의 경우 연 350만 원 이하까지 지원을 받을 수 있습니다.
청소년활동지원의 경우 문화활동비를 포함하여 월 최대 얼마까지 지원받을 수 있나요?,청소년활동지원에서 문화활동비를 포함한 지원금액은 월 30만 원 이하까지입니다.
위기 청소년 특별지원 신청은 어디에서 할 수 있나요?,위기 청소년 특별지원 신청은 읍면동 주민센터(행정복지센터)에서 할 수 있습니다.
위기 청소년 특별지원에 대해 문의하고 싶을 때 어디로 전화하면 되나요?,위기 청소년 특별지원에 대해 문의하기 위해서는 청소년전화 1388로 연락하시면 됩니다.
자립준비청년에게 제공되는 사후관리 서비스는 무엇인가요?,"자립준비청년에게는 연 1~2회 사후관리 상담 및 자립수준평가를 실시하고, 지원이 필요한 경우 자립지원통합서비스로 연계해 드리는 서비스를 제공합니다."
자립지원통합서비스의 내용으로는 어떤 것이 있나요?,"자립지원통합서비스는 생활, 주거, 교육, 취업, 의료 등 자립에 필요한 다양한 서비스 이용 지원 및 복지급여와 서비스 연계 제공을 포함합니다."
'23년부터 자립지원통합서비스 지원대상에 새로 포함된 대상은 누구인가요?,2023년부터 보호연장아동이 자립지원통합서비스 지원대상에 새롭게 포함되었습니다.
자립준비청년이 자립지원전담기관에 문의하려면 어디로 연락해야 하나요?,"자립준비청년이 거주하는 시도의 자립지원전담기관에 문의하시면 됩니다. 기관 정보는 해당 시도나 시군구 누리집, 아동권리보장원 누리집에 게재되어 있습니다."
자립지원 서비스를 신청하기 위한 절차는 어떻게 되나요?,"자립지원 서비스를 신청하기 위한 절차는 사후관리를 통한 발굴이나 유관기관의 의뢰로 시작하여 초기상담 및 접수, 욕구사정 및 사례회의를 통한 지원대상자 선정, 서비스 제공 계획 수립, 실행, 점검 및 평가, 마지막으로 종결의 과정을 거칩니다."
자립준비청년 자립지원에 대해 더 자세히 알아보고 싶다면 어디로 문의하면 되나요?,자립준비청년 자립지원에 대한 자세한 문의는 보건복지상담센터(☎129)나 아동권리보장원(http://www.ncrc.or.kr/jarip/)(☎02-6454-8500)으로 하실 수 있습니다.
자립지원통합서비스 제공 계획 수립 후 어떤 절차가 이루어지나요?,"서비스 제공 계획 수립 후에는 실제 서비스 실행, 점검 및 평가 과정을 거치게 됩니다."
아동양육시설에서 나온 후 5년 이내에 있는 청년도 자립지원 서비스를 받을 수 있나요?,"네, 아동양육시설, 공동생활가정, 가정위탁 보호 종료 후 5년 이내의 자립준비청년도 자립지원통합서비스를 받을 수 있습니다."
자립지원에 필요한 각종 서비스에는 어떤 것들이 포함되고 어떻게 지원되나요?,"자립에 필요한 각종 서비스로는 생활, 주거, 교육, 취업, 의료 등이 있으며, 이러한 서비스의 이용 지원 및 복지급여와 서비스 연계 제공이 포함됩니다."
자립지원전담기관의 정보를 확인할 수 있는 다른 방법이 있나요?,자립지원전담기관의 정보는 아동권리보장원 누리집 외에도 각 시도와 시군구의 공식 누리집에서 확인하실 수 있습니다.
초·중·고 자녀를 둔 기초생활수급가구는 어떻게 교육정보화 지원을 받을 수 있나요?,"해당 자녀가 있는 가구는 읍면동 주민센터(행정복지센터)나 복지로(http://www.bokjiro.go.kr), 교육비원클릭시스템(http://oneclick.moe.go.kr)을 통해 신청할 수 있습니다."
교육정보화 지원을 통해 얼마의 인터넷통신비를 지원받을 수 있나요?,"지원받을 수 있는 인터넷통신비는 가구당 월 17,600원입니다. 시도별 기준에 따라 유해차단서비스 월 1,650원도 지원될 수 있습니다."
교육정보화 지원에서 컴퓨터는 몇 대까지 지원하나요?,1세대에 1자녀를 기준으로 컴퓨터 1대를 지원합니다. 형제자매 간 중복지원은 배제됩니다.
차상위계층에 속하는 초중고생 자녀가 있습니다. 어디로 연락해서 교육정보화 지원을 신청할 수 있나요?,교육비 중앙상담센터(☎1544-9654)로 연락하시면 교육정보화 지원 신청과 관련된 상담을 받을 수 있습니다.
교육정보화 지원의 대상이 되는 저소득가구 범위는 어떻게 결정되나요?,대상이 되는 저소득가구의 범위는 시도교육청의 기준에 따라 다를 수 있으므로 자세한 정보는 해당 시도교육청에 문의하셔야 합니다.
한부모가족도 교육정보화 지원을 받을 수 있나요?,"네, 한부모가족도 저소득가구에 해당하므로 초중고생 자녀가 있다면 교육정보화 지원을 받을 수 있습니다."
교육정보화 지원 프로그램에 신청하려면 어떤 서류가 필요한가요?,"신청에 필요한 서류는 지역별, 상황별로 달라질 수 있어 읍면동 주민센터(행정복지센터) 또는 교육비 중앙상담센터(☎1544-9654)에 문의하셔야 정확한 안내를 받을 수 있습니다."
교육정보화 지원 신청은 온라인으로만 가능한가요?,"아니요, 온라인 신청 외에도 읍면동 주민센터(행정복지센터)를 방문하여 직접 신청이 가능합니다."
"형제자매가 여럿 있는 경우, 모두 교육정보화 지원을 받을 수 있나요?","1세대 1자녀에 한해 지원하므로, 형제자매 간 중복지원은 받을 수 없습니다. 가구당 컴퓨터 1대만 지원됩니다."
교육정보화 지원과 관련된 궁금한 사항은 어디서 해결할 수 있나요?,교육비 중앙상담센터(☎1544-9654)로 문의하시면 교육정보화 지원과 관련된 다양한 궁금증을 해결할 수 있습니다.
성교육을 받고 싶은데 어디에 문의해야 하나요?,"여성가족부에 문의하시면 도와드릴 수 있습니다. 연락처는 ☎02-2100-6000이며, 웹사이트 주소는 www.mogef.go.kr입니다."
청소년 대상의 성교육은 어떻게 신청할 수 있나요?,지역별 청소년성문화센터로 예약 신청하면 성교육을 받을 수 있습니다.
찾아가는 성교육 서비스는 어떤 대상에게 제공되나요?,"아동·청소년 관련 시설, 기관, 학교 등을 대상으로 찾아가는 성교육 서비스를 제공합니다."
부모가 자녀의 성교육을 위해 직접 교육을 신청할 수 있나요?,"네, 부모님도 아동·청소년 성교육에 대한 예약 신청이 가능합니다."
성범죄 예방교육도 청소년성문화센터에서 받을 수 있나요?,"네, 청소년성문화센터에서는 성교육뿐만 아니라 성범죄 예방교육도 실시합니다."
여성가족부에서 제공하는 성교육은 어떤 형태로 진행되나요?,"연령별, 대상별로 맞춤형 성교육을 실시하며 필요한 곳으로 직접 찾아가서 교육을 진행합니다."
중학교 선생님으로서 학교에 성교육 강사를 초청하고 싶어요. 어떻게 해야 하나요?,시도 청소년성문화센터에 문의하여 학교로 찾아가는 성교육을 예약 신청하실 수 있습니다.
청소년성문화센터에서 성교육을 받으려면 비용이 드나요?,"청소년성문화센터에서 제공하는 성교육의 비용은 센터별로 다를 수 있으니, 자세한 사항은 직접 문의하시는 것이 좋습니다."
지역별 청소년성문화센터는 어떻게 찾을 수 있나요?,여성가족부의 웹사이트나 시도 청소년성문화센터를 통해 가까운 지역별 센터 정보를 찾으실 수 있습니다.
"학교에서 성교육을 신청하고 싶은데, 어느 기관에 연락해야 하나요?",해당 지역의 청소년성문화센터에 예약 신청을 하시면 학교에서 성교육을 받을 수 있습니다.
전문기술인재장학금의 I유형(등록금) 장학금 지원을 받기 위한 성적 기준은 무엇인가요?,I유형(등록금) 장학금 지원을 받으려면 직전학기에 12학점 이상을 이수하고 평균성적이 백분위 점수 80점 이상이어야 합니다.
한국장학재단의 전문기술인재장학금 신청은 어디서 할 수 있나요?,전문기술인재장학금 신청은 한국장학재단 누리집(https://www.kosaf.go.kr)을 통해 할 수 있습니다.
전문기술인재장학금 I유형(생활비)를 계속 지원받으려면 어떤 조건을 만족해야 하나요?,I유형(생활비)를 계속 지원받기 위해서는 직전학기에 12학점 이상을 이수하고 성적이 백분위 점수 80점 이상이 되어야 합니다.
전문기술인재장학금의 II유형은 어떤 학생에게 지원되나요?,II유형 장학금은 전문대학 정규과정에 재학 중인 학생 중 성적 및 학점 조건을 충족하는 학생에게 지원됩니다.
전문기술인재장학금에 대한 문의는 어디로 하면 되나요?,"전문기술인재장학금에 대한 문의는 한국장학재단으로 하시면 되며, 전화번호는 ☎1599-2290입니다."
전문기술인재장학금 지원을 받으려면 이수해야 하는 최소 학점이 어떻게 되나요?,지원을 받기 위한 최소 이수 학점은 직전학기 기준으로 12학점입니다.
1학년 학생도 전문기술인재장학금 I유형(등록금)을 신청할 수 있나요?,"네, 1학년 학생의 경우 성적 및 이수학점 최소요건 기준 없이 전문기술인재장학금 I유형(등록금) 신청이 가능합니다."
전문기술인재장학금의 I유형(생활비) 지원액은 얼마인가요?,I유형(생활비)의 경우 학기당 200만 원을 지원받습니다.
전문기술인재장학금 신청 시 필요한 직전학기 성적은 백분위 몇 점 이상이어야 하나요?,신청 시 직전학기 성적은 백분위 80점 이상이어야 합니다.
전문기술인재장학금 I유형(등록금) 계속 지원을 받으려면 어느 학교에 재학 중이어야 하나요?,I유형(등록금) 계속 지원을 받으려면 당해연도 1학기 선발자로서 동일 학교·학과(부)에 재학 중이어야 합니다.
만약 제 아이가 아동복지시설에서 생활하고 있다면 디딤씨앗통장에 가입할 수 있나요?,"네, 만 18세 미만의 아동복지시설 생활 아동은 디딤씨앗통장 가입 대상에 해당합니다."
디딤씨앗통장에 아이가 매달 얼마까지 적립할 수 있나요?,아이가 디딤씨앗통장에 적립할 수 있는 최대 금액은 월 50만 원입니다.
국가가 디딤씨앗통장 적립금에 대해 어떤 지원을 해주나요?,"국가(지자체)는 아동이 통장에 적립하는 금액에 대하여 적립한 금액의 2배에 해당하는 금액을 지원해 줍니다. 단, 월 5만 원까지만 1:2 매칭으로 최대 10만 원까지 지원합니다."
"제가 위탁가정에 아이를 둔 보호자인데, 디딤씨앗통장 신청은 어디에서 해야 하나요?","위탁가정 아동도 디딤씨앗통장의 대상이며, 아동 또는 보호자가 가까운 읍면동 주민센터(행정복지센터)에서 신청할 수 있습니다."
소년소녀가정 아이들도 디딤씨앗통장 혜택을 받을 수 있는지 궁금해요.,"네, 소년소녀가정의 아동 또한 디딤씨앗통장의 대상으로 혜택을 받을 수 있습니다."
"저희 아이가 생계급여수급자 가정의 아동인데, 디딤씨앗통장 가입 연령에 제한이 있나요?",생계급여수급자 가정의 아동이라면 만 12세부터 만 17세까지 디딤씨앗통장에 가입할 수 있습니다.
디딤씨앗통장에 대해 좀 더 자세한 내용을 알고 싶어요. 어디로 문의하면 되나요?,"디딤씨앗통장에 관한 자세한 내용은 보건복지상담센터(☎129) 또는 아동권리보장원 자립지원부(☎02-6454-8666, http://www.adongcda.or.kr)로 문의하실 수 있습니다."
만 18세 미만 장애인시설 생활 아동도 디딤씨앗통장 가입이 가능한가요?,"네, 만 18세 미만의 장애인시설 생활 아동도 디딤씨앗통장 가입 대상입니다."
의료급여수급자 가정의 만 11세 아동도 디딤씨앗통장을 통해 지원을 받을 수 있나요?,아쉽게도 의료급여수급자 가정의 아동은 만 12세부터 만 17세 사이에서만 디딤씨앗통장에 가입할 수 있어 만 11세 아동은 아직 가입이 불가능합니다.
만약 제 아이가 디딤씨앗통장에 매달 10만 원을 적립한다면 국가 지원금은 얼마나 되나요?,"매달 10만 원을 적립할 경우, 국가는 5만 원까지 1:2 매칭 지원을 해주므로 아이의 적립금에 추가로 10만 원을 지원받게 됩니다. 따라서 총 20만 원이 아이의 통장에 적립됩니다."
경계선지능아동 맞춤형 사례관리서비스 대상이 되려면 어떤 조건을 충족해야 하나요?,아동복지시설에 보호되고 있는 경계선지능으로 진단받은 아동 중에서 선별검사 결과에 기반한 종합심사를 통과한 아동이 대상이 됩니다.
경계선지능아동 사례관리 서비스를 신청하고 싶습니다. 어떻게 해야 하나요?,아동복지시설에서 해당 아동의 기존 진단 결과와 선별체크리스트 결과를 토대로 아동권리보장원(자립지원부)에 신청하시면 됩니다.
선별검사 비용도 지원해주나요?,"네, 선별검사 비용은 지원되어 아동에게 맞춤형 사례관리 서비스를 제공합니다."
경계선지능아동을 위한 선별검사에는 어떤 검사들이 포함되어 있나요?,"선별검사는 지능검사, HTP, 문장완성검사 등으로 구성되어 있으며, 예산 범위 내에서 사회성숙도 검사를 추가하여 실시할 수 있습니다."
선별검사를 실시할 수 있는 기관은 어디인가요?,지역사회 내에서 병의원 또는 임상심리사가 선별검사를 실시할 수 있습니다.
아동복지시설에 있는 아이가 경계선지능아동 맞춤형 사례관리서비스의 도움을 받을 수 있는지 어떻게 알 수 있나요?,"아동이 선별체크리스트를 통과하여 경계선지능으로 판단되면, 해당 서비스를 받을 자격이 있습니다."
선별검사와 관련하여 어디로 문의해야 하나요?,선별검사와 관련된 문의는 보건복지상담센터(☎129)나 아동권리보장원(☎02-6454-8500)으로 하시면 상담을 받으실 수 있습니다.
경계선지능아동 맞춤형 사례관리서비스의 주 제공 내용은 무엇인가요?,선별검사 비용 지원과 함께 각 아동에 맞게 특화된 사례관리 서비스가 제공됩니다.
